,point,Large_Std_TMY_PASSIVE,Large_Std_2070_PASSIVE,Large_Med_TMY_PASSIVE,Large_Med_2070_PASSIVE,Large_High_TMY_PASSIVE,Large_High_2070_PASSIVE
50,"[39.5, 2.5, 0.800000011920929]",18.08,22.27,16.5,20.91,15.37,17.44
51,"[39.5, 3.5, 0.800000011920929]",18.07,22.26,16.5,20.9,15.36,17.44
52,"[39.5, 4.5, 0.800000011920929]",18.08,22.26,16.5,20.9,15.37,17.44
53,"[39.5, 5.5, 0.800000011920929]",21.14,22.27,16.52,20.91,15.38,17.45
54,"[39.5, 6.5, 0.800000011920929]",20.98,22.3,16.54,20.93,15.41,17.47
55,"[39.5, 7.5, 0.800000011920929]",21.2,22.33,16.59,20.96,15.45,17.49
56,"[39.5, 8.5, 0.800000011920929]",21.18,22.4,16.68,21.0,15.51,17.53
57,"[39.5, 9.5, 0.800000011920929]",21.57,22.58,16.84,21.07,15.61,17.6
58,"[39.5, 10.5, 0.800000011920929]",21.4,23.05,17.3,21.35,15.93,17.72
59,"[39.5, 11.5, 0.800000011920929]",22.97,25.45,20.14,22.48,16.72,18.01
60,"[40.5, 0.5, 0.800000011920929]",18.25,22.38,16.66,21.03,15.51,17.53
61,"[40.5, 1.5, 0.800000011920929]",18.12,22.3,16.54,20.94,15.4,17.46
62,"[40.5, 2.5, 0.800000011920929]",18.08,22.27,16.51,20.91,15.37,17.44
63,"[40.5, 3.5, 0.800000011920929]",18.08,22.26,16.5,20.9,15.37,17.44
64,"[40.5, 4.5, 0.800000011920929]",18.08,22.27,16.5,20.91,15.37,17.44
65,"[40.5, 5.5, 0.800000011920929]",20.87,22.28,16.53,20.91,15.39,17.45
66,"[40.5, 6.5, 0.800000011920929]",21.06,22.3,20.79,20.93,15.42,17.47
67,"[40.5, 7.5, 0.800000011920929]",21.36,22.34,20.58,20.96,15.46,17.5
68,"[40.5, 8.5, 0.800000011920929]",20.86,22.45,20.64,21.01,15.53,17.55
69,"[40.5, 9.5, 0.800000011920929]",21.55,22.62,21.08,21.09,15.68,17.63
70,"[40.5, 10.5, 0.800000011920929]",21.67,23.18,21.24,21.48,16.05,17.76
71,"[40.5, 11.5, 0.800000011920929]",22.87,25.3,21.29,22.43,16.8,18.03
72,"[41.5, 0.5, 0.800000011920929]",18.26,22.38,16.67,21.04,15.51,17.53
73,"[41.5, 1.5, 0.800000011920929]",18.13,22.3,16.55,20.94,15.41,17.46
74,"[41.5, 2.5, 0.800000011920929]",18.09,22.27,16.51,20.91,15.38,17.44
75,"[41.5, 3.5, 0.800000011920929]",18.08,22.27,16.51,20.91,15.37,17.44
76,"[41.5, 4.5, 0.800000011920929]",18.1,22.27,16.51,20.91,15.38,17.44
77,"[41.5, 5.5, 0.800000011920929]",21.13,22.28,20.76,20.92,15.4,17.46
78,"[41.5, 6.5, 0.800000011920929]",21.18,22.31,20.9,20.94,18.07,17.55
79,"[41.5, 7.5, 0.800000011920929]",21.19,22.36,20.77,20.98,15.48,17.51
80,"[41.5, 8.5, 0.800000011920929]",21.24,22.45,20.94,21.06,15.56,17.56
81,"[41.5, 9.5, 0.800000011920929]",21.5,22.67,20.9,21.14,15.73,17.65
82,"[41.5, 10.5, 0.800000011920929]",21.38,23.2,21.09,21.55,16.1,17.78
83,"[41.5, 11.5, 0.800000011920929]",23.84,26.01,21.16,22.64,18.52,18.05
84,"[42.5, 0.5, 0.800000011920929]",18.27,22.39,16.67,21.04,15.51,17.53
85,"[42.5, 1.5, 0.800000011920929]",18.14,22.3,16.56,20.95,15.41,17.47
86,"[42.5, 2.5, 0.800000011920929]",18.1,22.28,16.53,20.92,15.38,17.45
87,"[42.5, 3.5, 0.800000011920929]",18.1,22.27,16.52,20.91,15.37,17.44
88,"[42.5, 4.5, 0.800000011920929]",21.14,22.28,16.53,20.92,15.39,17.45
89,"[42.5, 5.5, 0.800000011920929]",21.27,22.29,20.92,20.93,15.41,17.46
90,"[42.5, 6.5, 0.800000011920929]",21.36,22.33,20.68,20.95,15.43,17.48
91,"[42.5, 7.5, 0.800000011920929]",21.09,22.39,21.1,20.98,15.49,17.52
92,"[42.5, 8.5, 0.800000011920929]",21.39,22.48,20.79,21.04,15.57,17.57
93,"[42.5, 9.5, 0.800000011920929]",21.33,22.67,21.21,21.15,15.75,17.66
