,spatial-minus-zoneMean-mrt,Size,Design,Weather,Operation
270,-0.24,Small,Standard,TMY,PASSIVE
271,0.2,Small,Standard,TMY,PASSIVE
272,0.43,Small,Standard,TMY,PASSIVE
273,0.79,Small,Standard,TMY,PASSIVE
274,1.13,Small,Standard,TMY,PASSIVE
275,1.4,Small,Standard,TMY,PASSIVE
276,1.36,Small,Standard,TMY,PASSIVE
277,1.21,Small,Standard,TMY,PASSIVE
278,0.79,Small,Standard,TMY,PASSIVE
279,0.47,Small,Standard,TMY,PASSIVE
280,0.26,Small,Standard,TMY,PASSIVE
281,0.1,Small,Standard,TMY,PASSIVE
282,-0.22,Small,Standard,TMY,PASSIVE
283,-0.37,Small,Standard,TMY,PASSIVE
284,-0.37,Small,Standard,TMY,PASSIVE
285,-0.36,Small,Standard,TMY,PASSIVE
286,-0.36,Small,Standard,TMY,PASSIVE
287,-0.39,Small,Standard,TMY,PASSIVE
288,-0.44,Small,Standard,TMY,PASSIVE
289,-0.47,Small,Standard,TMY,PASSIVE
290,-0.49,Small,Standard,TMY,PASSIVE
291,-0.51,Small,Standard,TMY,PASSIVE
292,-0.52,Small,Standard,TMY,PASSIVE
293,-0.45,Small,Standard,TMY,PASSIVE
294,0.14,Small,Standard,TMY,PASSIVE
295,0.15,Small,Standard,TMY,PASSIVE
296,0.5,Small,Standard,TMY,PASSIVE
297,0.89,Small,Standard,TMY,PASSIVE
298,1.24,Small,Standard,TMY,PASSIVE
299,1.46,Small,Standard,TMY,PASSIVE
300,1.38,Small,Standard,TMY,PASSIVE
301,1.21,Small,Standard,TMY,PASSIVE
302,1.16,Small,Standard,TMY,PASSIVE
303,0.4,Small,Standard,TMY,PASSIVE
304,0.19,Small,Standard,TMY,PASSIVE
305,0.13,Small,Standard,TMY,PASSIVE
306,-0.13,Small,Standard,TMY,PASSIVE
307,-0.24,Small,Standard,TMY,PASSIVE
308,-0.22,Small,Standard,TMY,PASSIVE
309,-0.21,Small,Standard,TMY,PASSIVE
310,-0.2,Small,Standard,TMY,PASSIVE
311,-0.23,Small,Standard,TMY,PASSIVE
312,-0.25,Small,Standard,TMY,PASSIVE
313,-0.25,Small,Standard,TMY,PASSIVE
314,-0.27,Small,Standard,TMY,PASSIVE
315,-0.3,Small,Standard,TMY,PASSIVE
316,-0.36,Small,Standard,TMY,PASSIVE
317,-0.32,Small,Standard,TMY,PASSIVE
318,0.36,Small,Standard,TMY,PASSIVE
319,0.64,Small,Standard,TMY,PASSIVE
320,1.02,Small,Standard,TMY,PASSIVE
321,1.14,Small,Standard,TMY,PASSIVE
322,1.84,Small,Standard,TMY,PASSIVE
323,1.6,Small,Standard,TMY,PASSIVE
324,1.07,Small,Standard,TMY,PASSIVE
325,0.88,Small,Standard,TMY,PASSIVE
326,0.75,Small,Standard,TMY,PASSIVE
327,0.57,Small,Standard,TMY,PASSIVE
328,0.41,Small,Standard,TMY,PASSIVE
329,0.13,Small,Standard,TMY,PASSIVE
330,-0.2,Small,Standard,TMY,PASSIVE
331,-0.24,Small,Standard,TMY,PASSIVE
332,-0.27,Small,Standard,TMY,PASSIVE
333,-0.27,Small,Standard,TMY,PASSIVE
334,-0.25,Small,Standard,TMY,PASSIVE
335,-0.24,Small,Standard,TMY,PASSIVE
336,-0.24,Small,Standard,TMY,PASSIVE
337,-0.24,Small,Standard,TMY,PASSIVE
338,-0.25,Small,Standard,TMY,PASSIVE
339,-0.3,Small,Standard,TMY,PASSIVE
340,-0.34,Small,Standard,TMY,PASSIVE
341,-0.3,Small,Standard,TMY,PASSIVE
342,0.09,Small,Standard,TMY,PASSIVE
343,0.18,Small,Standard,TMY,PASSIVE
344,1.08,Small,Standard,TMY,PASSIVE
345,1.68,Small,Standard,TMY,PASSIVE
346,1.79,Small,Standard,TMY,PASSIVE
347,2.1,Small,Standard,TMY,PASSIVE
348,2.36,Small,Standard,TMY,PASSIVE
349,2.14,Small,Standard,TMY,PASSIVE
350,1.56,Small,Standard,TMY,PASSIVE
351,0.51,Small,Standard,TMY,PASSIVE
352,0.12,Small,Standard,TMY,PASSIVE
353,0.1,Small,Standard,TMY,PASSIVE
354,-0.25,Small,Standard,TMY,PASSIVE
355,-0.31,Small,Standard,TMY,PASSIVE
356,-0.31,Small,Standard,TMY,PASSIVE
357,-0.31,Small,Standard,TMY,PASSIVE
358,-0.3,Small,Standard,TMY,PASSIVE
359,-0.3,Small,Standard,TMY,PASSIVE
360,-0.29,Small,Standard,TMY,PASSIVE
361,-0.3,Small,Standard,TMY,PASSIVE
362,-0.3,Small,Standard,TMY,PASSIVE
363,-0.3,Small,Standard,TMY,PASSIVE
364,-0.32,Small,Standard,TMY,PASSIVE
365,-0.28,Small,Standard,TMY,PASSIVE
366,0.29,Small,Standard,TMY,PASSIVE
367,0.8,Small,Standard,TMY,PASSIVE
368,1.31,Small,Standard,TMY,PASSIVE
369,1.83,Small,Standard,TMY,PASSIVE
